viento,frecuencia
6.0,9.56
6.0,9.56
6.0,9.56
6.0,9.56
7.0,12.75
7.0,12.75
7.0,12.75
7.0,12.75
8.0,15.94
8.0,15.94
8.0,15.94
8.0,15.94
9.0,19.12
9.0,19.12
9.0,19.12
9.0,19.12
10.0,22.31
11.0,25.50
12.0,25.50
13.0,25.50
14.0,25.50
15.0,25.50
15.0,25.50
14.0,25.50
11.0,25.50
11.0,25.50
11.0,25.50
11.0,25.50
10.0,22.31
10.0,22.31
10.0,22.31
10.0,22.31
9.0,19.12
9.0,19.12
9.0,19.12
8.0,15.94
8.0,15.94
8.0,15.94
7.0,12.75
7.0,12.75
7.0,12.75
7.0,12.75
6.0,9.56
6.0,9.56
6.0,9.56
6.5,9.56
6.5,9.56
6.5,9.56
6.5,9.56
7.5,13.42
7.5,13.42
7.5,13.42
8.5,16.78
8.5,16.78
8.5,16.78
9.5,20.14
9.5,20.14
9.5,20.14
10.5,23.50
11.5,25.50
12.5,25.50
13.5,25.50
14.5,25.50
15.0,25.50
15.0,25.50
14.0,25.50
13.0,25.50
12.0,25.50
11.0,25.50
10.0,22.31
9.0,19.12
8.0,15.94
7.0,12.75
6.0,9.56
5.0,8.00
5.0,8.00
6.0,9.56
7.0,12.75
8.0,15.94
9.0,19.12
10.0,22.31
11.0,25.50
12.0,25.50
13.0,25.50
14.0,25.50
15.0,25.50
14.0,25.50
13.0,25.50
12.0,25.50
11.0,25.50
10.0,22.31
9.0,19.12
8.0,15.94
7.0,12.75
6.0,9.56
