,1,2,3,4,5,6,7,8,9,10,11,12
0,1.14,1.2,1.18,1.15,1.09,1.2,1.23,1.07,0.92,0.86,0.84,1.03
1,1.15,1.2,1.17,1.13,1.06,1.21,1.23,1.06,0.89,0.81,0.81,1.02
2,1.14,1.19,1.15,1.13,1.04,1.21,1.23,1.05,0.88,0.78,0.79,1.02
3,1.13,1.17,1.13,1.12,1.03,1.2,1.23,1.05,0.87,0.75,0.76,1
4,1.1,1.13,1.1,1.1,1.03,1.19,1.21,1.03,0.85,0.74,0.73,0.98
5,1.07,1.1,1.08,1.07,1.02,1.17,1.18,1.01,0.83,0.73,0.71,0.96
6,1.04,1.07,1.06,1.05,1,1.15,1.15,0.99,0.8,0.71,0.68,0.93
7,1.01,1.04,1.04,1.03,0.99,1.13,1.13,0.98,0.79,0.69,0.67,0.9
8,0.99,1.01,1.02,1.02,0.97,1.11,1.11,0.96,0.78,0.68,0.66,0.88
9,0.98,0.99,1.01,1.01,0.96,1.09,1.1,0.94,0.77,0.66,0.65,0.87
10,0.95,0.96,0.98,0.99,0.94,1.07,1.08,0.91,0.76,0.64,0.64,0.86
11,0.92,0.92,0.95,0.96,0.92,1.04,1.03,0.88,0.73,0.62,0.62,0.84
12,0.9,0.89,0.93,0.94,0.9,1.04,1.02,0.85,0.7,0.6,0.61,0.82
13,0.93,0.92,0.96,0.95,0.91,1.08,1.06,0.86,0.71,0.61,0.61,0.83
14,0.98,0.96,0.99,0.95,0.92,1.11,1.09,0.87,0.73,0.62,0.64,0.87
15,1.01,0.99,1.01,0.97,0.94,1.12,1.12,0.89,0.76,0.65,0.67,0.9
16,1.04,1.02,1.05,1,0.99,1.13,1.15,0.95,0.81,0.71,0.74,0.92
17,1.08,1.06,1.1,1.05,1.04,1.16,1.19,1,0.87,0.79,0.83,0.96
18,1.12,1.1,1.15,1.11,1.09,1.18,1.21,1.04,0.93,0.86,0.91,1
19,1.16,1.14,1.2,1.17,1.13,1.21,1.24,1.06,0.96,0.91,0.97,1.06
20,1.2,1.17,1.23,1.21,1.17,1.26,1.28,1.1,1,0.95,0.99,1.1
21,1.23,1.2,1.24,1.22,1.19,1.29,1.3,1.13,1.01,0.96,0.99,1.13
22,1.23,1.2,1.24,1.22,1.19,1.3,1.31,1.12,1,0.95,0.97,1.12
23,1.19,1.17,1.2,1.18,1.15,1.28,1.29,1.07,0.96,0.91,0.92,1.08
